hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::454ea1cb2d7b,S1,454ea1cb2d7b,5454,-0.005100742843190329,0.020526395712980726,-0.24849676068383797,181,1.5153545577019603,0.598124961952113,0.8037500760957741
S1::f182adbe26d4,S1,f182adbe26d4,4632,-0.026329944278802128,0.024207431623115217,-1.0876802086537822,181,1.6732243903852109,0.8616318460905894,0.2767363078188212
S1::68c5dc490073,S1,68c5dc490073,5456,-0.02960749456329038,0.022013672621581375,-1.3449593383279586,181,1.6465283990246957,0.9106808169952214,0.17863836600955718
S1::4e69fdf48a60,S1,4e69fdf48a60,4631,-0.001970035162982973,0.02514219399367736,-0.07835573790729591,181,1.6980140061208546,0.5312274593677571,0.9375450812644861
S1::0292caa9ace7,S1,0292caa9ace7,5456,-0.0036340238175759086,0.022961800818134245,-0.15826388558801158,181,1.681560854883358,0.5628755677147932,0.8742488645704136
S1::c7481258ae1f,S1,c7481258ae1f,719,-0.03908040348442501,0.04538229440174096,-0.8611376749370742,176,1.240093957668262,0.8054188893070371,0.3891622213859258
S1::0c2a00f7c0e3,S1,0c2a00f7c0e3,995,-0.01907563158340094,0.035327702738032714,-0.5399624120722887,179,1.2321609648696479,0.7053885226586547,0.5892229546826906
S1::3d3167547f61,S1,3d3167547f61,719,-0.0019264116797626275,0.052504548424655906,-0.036690377073274535,176,1.431439596166742,0.5146340592692475,0.9707318814615049
S1::6ef487cd4c02,S1,6ef487cd4c02,995,0.013870061638912391,0.04011217431331791,0.34578184494744035,179,1.428743296245584,0.36475333506883756,0.7295066701376751
S1::06b01144140d,S1,06b01144140d,719,-0.04471821416740194,0.047286021584365276,-0.9456962685604247,176,1.2956111183608987,0.827848236867558,0.3443035262648839
S1::affd3ca537e3,S1,affd3ca537e3,995,0.04809571778113704,0.07342992199344395,0.65498800046977,179,2.2645968711652107,0.25623773993811594,0.5124754798762319
S1::6ab5730d2e3c,S1,6ab5730d2e3c,719,-0.046270386241120696,0.04960123095395293,-0.9328475392894099,176,1.425265543000829,0.824550654055243,0.35089869188951406
S1::8e919fd46517,S1,8e919fd46517,996,0.09899203632970745,0.12761566914388767,0.7757044020832046,179,3.9786387289925123,0.21896177004822748,0.43792354009645496
S1::514b21ec4b77,S1,514b21ec4b77,719,-0.01898069289031868,0.04432992264944191,-0.4281688700523288,176,1.2282134839031318,0.6657359106399013,0.6685281787201973
S1::95b35ac48aa3,S1,95b35ac48aa3,995,-0.025656350702483947,0.036522060892199976,-0.7024891278236541,179,1.2110406740008979,0.7588129101947101,0.4823741796105798
S1::c40d338ffde5,S1,c40d338ffde5,719,0.016026737514700566,0.052420010950216096,0.30573701195753944,176,1.4139697530305722,0.3799024451706092,0.7598048903412185
S1::85920f5ddc36,S1,85920f5ddc36,995,-0.000992947904255716,0.041846294289301006,-0.023728454839777452,179,1.3788478316300634,0.5094653956438019,0.9810692087123962
S1::0867ae41907e,S1,0867ae41907e,719,-0.02129457187874949,0.04580279121327002,-0.4649186504725505,176,1.2417551311236839,0.6790051430331174,0.6419897139337651
S1::cb45d2b2b5b1,S1,cb45d2b2b5b1,995,-0.024632963029232437,0.0395546452221417,-0.6227577795450311,179,1.2439842157015186,0.7332781465143314,0.5334437069713371
S1::695c6274b611,S1,695c6274b611,719,-0.023307770087490413,0.04566920105308103,-0.5103608022483235,176,1.3271403895051745,0.6951006435697177,0.6097987128605646
S1::833ef3f5b7d9,S1,833ef3f5b7d9,996,-0.035091906231880875,0.040065177990307864,-0.875870468873742,179,1.3095330905384563,0.809449772362084,0.3811004552758319
S1::fdae0a01aed7,S1,fdae0a01aed7,113,0.05691579020640272,0.08257617659060483,0.689251943554848,85,0.8221516068509599,0.24533236699396,0.49066473398792
S1::c32108d776aa,S1,c32108d776aa,242,0.04016586358277397,0.05970355032304256,0.6727550265511091,137,0.8818800564737796,0.2505515768821478,0.5011031537642956
S1::98926b393eea,S1,98926b393eea,113,0.09278712503551954,0.09042260724112397,1.0261496307896794,85,0.9234841623077165,0.1524105296215017,0.3048210592430034
S1::9bc44c1aa868,S1,9bc44c1aa868,242,0.0862025304129357,0.06782721277336085,1.2709136479037477,137,1.0019208601283847,0.10187968526883218,0.20375937053766435
S1::e852fdd461fe,S1,e852fdd461fe,116,-0.0025314366022917718,0.028139154159448756,-0.08996136088339915,85,0.3077358510266701,0.5358410400847903,0.9283179198304194
S1::9164e18a6b9a,S1,9164e18a6b9a,245,-0.021903407845741015,0.019920397115053244,-1.0995467469465892,137,0.3278862345739029,0.8642351722731227,0.2715296554537545
