hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,db5,era1,era2,era3,epos,worst_era,recent,SURVIVE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=bbd07059db99,S1,1175,78.0,0.39,-0.0079,-0.0732,0.986,58.1,-0.1119,0.0322,-0.0117,-0.0443,1,-0.0443,-0.0282,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=392f5a0111a6,S1,590,39.0,0.346,-0.0773,-0.1243,0.871,66.0,-0.2359,0.0025,-0.1522,-0.082,1,-0.1522,-0.1237,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=f3273c3d1579,S1,1169,78.0,0.357,-0.0127,-0.0772,0.979,57.3,-0.1696,0.0177,0.0047,-0.0607,2,-0.0607,-0.0681,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=ca95b409f46d,S1,601,40.0,0.671,-0.0119,-0.0589,0.96,24.5,-0.0959,0.0062,-0.0494,0.0074,2,-0.0494,0.0591,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=2dd467522255,S1,1204,80.0,0.638,-0.0221,-0.0899,0.936,43.6,-0.1412,-0.0622,-0.0396,0.0357,1,-0.0622,0.056,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=07a31f117c8d,S1,602,40.0,0.392,-0.0517,-0.0987,0.898,52.2,-0.2473,-0.0408,-0.1155,0.0016,1,-0.1155,0.1118,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=2f097acc6948,S1,1200,80.0,0.372,-0.0246,-0.0928,0.955,69.9,-0.266,-0.053,-0.0178,-0.0031,0,-0.053,0.1098,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=4/id=3347c9cb50d0,S1,592,39.0,0.375,-0.0628,-0.1054,0.889,54.7,-0.1688,0.0241,-0.1795,-0.0333,1,-0.1795,-0.1157,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=8/id=0ac2d8eb4e13,S1,1167,78.0,0.391,-0.0095,-0.0563,0.983,51.0,-0.1144,0.0215,-0.0252,-0.0248,1,-0.0252,-0.017,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=4/id=057abc6e32a1,S1,589,39.0,0.345,-0.0746,-0.1173,0.874,61.7,-0.2335,0.0018,-0.1449,-0.0813,1,-0.1449,-0.1557,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=8/id=955b64787255,S1,1159,77.0,0.355,-0.0246,-0.0715,0.958,52.6,-0.1808,-0.0172,-0.0005,-0.0563,0,-0.0563,-0.0491,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=4/id=662d721de5b3,S1,599,40.0,0.673,-0.0068,-0.0494,0.977,21.0,-0.0909,0.0039,-0.0475,0.0235,2,-0.0475,0.0433,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=8/id=57ad457eb1d9,S1,1198,80.0,0.654,-0.0194,-0.066,0.94,37.2,-0.1213,-0.0423,-0.0436,0.0278,1,-0.0436,0.0407,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=4/id=6de187715938,S1,601,40.0,0.396,-0.0404,-0.083,0.919,45.9,-0.2372,-0.0387,-0.1087,0.0263,1,-0.1087,0.0978,False
