object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f017,20,0.0002186294864214844,10.0,0.06735286354916202,44,42,0.2925096611253329,1.2381906046814497,-0.22398750302820006,215,0.0020772946859903382,True
S51::049ca99687f4,S51,M06_SESSION_TIME,f027,5,0.00025514861379694054,,,0,0,,,-0.18209800690149575,216,0.0020869565217391307,True
SESS_B,SESS_B,M06_SESSION_TIME,f016,3,0.00027705944023814766,,,0,0,,,-0.3656137311760934,217,0.0020966183574879227,True
S18::3933c532ec9c,S18,M06_SESSION_TIME,f016,3,0.0002863838668123453,2.0,0.18988728887150708,31,31,0.46423126881325616,1.7032198278596888,-0.27062340875942975,218,0.002106280193236715,True
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f003,5,0.0003167787277691403,,,0,0,,,-0.1791938310904777,219,0.002115942028985507,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f037,2,0.0003244484333890796,,,0,0,,,-0.24685756551201846,220,0.0021256038647342996,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f002,5,0.00032531021293302764,,,0,0,,,-0.16988540301205682,221,0.002135265700483092,True
S42::a347eead7c5d,S42,M08_EXTENSION_MEAN_REVERSION,f015,2,0.0003297660496892618,,,0,0,,,-0.10211823685240022,222,0.0021449275362318844,True
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f040,5,0.00033930485876187966,2.0,0.021644717760561875,695,680,0.2216227030794165,3.983663406020157,-0.17687497367340774,223,0.0021545893719806765,True
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f021,2,0.0003553488379921532,,,0,0,,,-0.6253044035935208,224,0.002164251207729469,True
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f005,2,0.00036513378801794616,3.0,0.10426205897337565,113,110,0.16851316360213192,1.776883678915726,-0.022855479656928215,225,0.002173913043478261,True
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f030,5,0.0003779366729605993,0.0,0.30740931930636195,70,57,0.4873304244478981,2.7033842310847134,-0.15238831279984705,226,0.0021835748792270533,True
S18::3933c532ec9c,S18,M06_SESSION_TIME,f023,5,0.00038830396175359994,,,0,0,,,-0.27062340875942975,227,0.0021932367149758453,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f017,24,0.00038889506002171004,,,0,0,,,-0.3737354389272471,228,0.0022028985507246378,True
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f013,5,0.0003969675927806282,,,0,0,,,-0.22398750302820006,229,0.0022125603864734298,True
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f043,5,0.00039741081845012793,,,0,0,,,-0.15238831279984705,230,0.0022222222222222222,True
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f003,5,0.00039927645396620193,,,0,0,,,-0.1792331034018087,231,0.0022318840579710147,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f016,5,0.0004029839300012661,,,0,0,,,-0.16988540301205682,232,0.002241545893719807,True
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f027,5,0.0004052597352033338,,,0,0,,,-0.6026326920420786,233,0.002251207729468599,True
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f005,4,0.0004161611532866871,1.0,0.2902631017665356,80,75,0.38681233004829674,2.384284979218509,-0.07335208704947947,234,0.0022608695652173915,True
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f027,5,0.0004175668548178635,,,0,0,,,-0.1687544865282243,235,0.0022705314009661835,True
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f003,5,0.00041853713748096766,,,0,0,,,-0.16152008753853492,236,0.002280193236714976,True
S6::7199b701458a,S6,M06_SESSION_TIME,f028,3,0.0004278177077825518,,,0,0,,,-0.5031640871587263,237,0.002289855072463768,True
S12::061854e10b15,S12,M12_RANGE_ROTATION,f021,2,0.00043693316645398994,,,0,0,,,-0.24240894300199123,238,0.0022995169082125604,True
S6::7199b701458a,S6,M06_SESSION_TIME,f041,3,0.0004426871969398505,,,0,0,,,-0.5031640871587263,239,0.0023091787439613524,True
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f011,9,0.0004546304001662449,6.0,0.14777306590689424,118,118,0.24287364314420642,2.003556006297265,-0.08249763533273155,240,0.002318840579710145,True
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f035,5,0.0004590553127781227,,,0,0,,,-0.18214022583580294,241,0.0023285024154589373,True
S51::049ca99687f4,S51,M06_SESSION_TIME,f003,5,0.0004756088645962997,,,0,0,,,-0.18209800690149575,242,0.0023381642512077297,True
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f001,5,0.0004943499194498546,4.0,0.001286342905458938,1114,786,0.07601547916598746,2.3612088613931035,-0.05809888414133959,243,0.0023478260869565218,True
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f028,5,0.0005107606270615683,0.0,0.4925924139527721,65,56,0.6806909032764012,3.8854223861719164,-0.15238831279984705,244,0.002357487922705314,True
S9::731bd4dd4aa4,S9,M09_MTF_ALIGNMENT,f039,4,0.0005264083534584074,1.0,0.17884487271234092,84,82,0.1861956361247049,1.1548479735604882,0.002918726695630246,245,0.0023671497584541066,True
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f028,5,0.0005320128256336432,,,0,0,,,-0.10018457997622172,246,0.0023768115942028986,True
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f005,5,0.0005356935228828519,2.0,0.10400935148949081,275,269,0.21216452628000682,2.655511100213295,-0.08249763533273155,247,0.002386473429951691,True
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f037,2,0.0005418078502028578,,,0,0,,,-0.1740521879042388,248,0.002396135265700483,True
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f011,48,0.0005526288227457599,,,0,0,,,-0.6253044035935208,249,0.0024057971014492755,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f030,5,0.0005535507727350009,,,0,0,,,-0.1929964957240371,250,0.002415458937198068,True
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f004,5,0.0005651542092866002,,,0,0,,,-0.23235864181773025,251,0.0024251207729468604,True
S31::555f488885b1,S31,M06_SESSION_TIME,f040,4,0.0005689212353061635,2.0,0.08519801179478498,32,32,0.3590554570898892,1.351710998301328,-0.25556162582555575,252,0.0024347826086956524,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f011,48,0.00057492924989333,,,0,0,,,-0.3737354389272471,253,0.002444444444444445,True
S18::3933c532ec9c,S18,M06_SESSION_TIME,f001,5,0.0006125252447664042,,,0,0,,,-0.27062340875942975,254,0.002454106280193237,True
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f005,5,0.0006130726745168236,0.0,0.29146032743645783,31,28,0.45523879573905773,1.7372550866774619,-0.15238831279984705,255,0.0024637681159420293,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f042,5,0.0006147502451625542,,,0,0,,,-0.36524044468647615,256,0.0024734299516908213,True
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f011,48,0.0006859327494588285,3.0,0.05636043748089755,291,291,0.21145931035467946,2.4370141540503854,-0.15124934773689036,257,0.0024830917874396137,True
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f039,4,0.0006920294949193107,,,0,0,,,-0.23235864181773025,258,0.0024927536231884057,True
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f039,4,0.0006935372891536673,,,0,0,,,-0.14407963683864652,259,0.002502415458937198,True
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f024,2,0.00072810865888151,,,0,0,,,-0.18214022583580294,260,0.0025120772946859906,True
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f017,24,0.0007483555298648525,,,0,0,,,-0.6253044035935208,261,0.002521739130434783,True
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f033,5,0.0007612364098297242,,,0,0,,,-0.6253044035935208,262,0.002531400966183575,True
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f016,5,0.0007803485140955857,,,0,0,,,-0.22398750302820006,263,0.0025410628019323675,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f016,5,0.0007852900856863965,,,0,0,,,-0.1929964957240371,264,0.0025507246376811595,True
S30::282a94fa23d8,S30,M06_SESSION_TIME,f036,5,0.0007893266417480227,,,0,0,,,-0.146454009554978,265,0.002560386473429952,True
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f041,5,0.000802050987454006,,,0,0,,,-0.6253044035935208,266,0.002570048309178744,True
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f027,5,0.000804893723151956,,,0,0,,,-0.1792331034018087,267,0.0025797101449275364,True
SESS_A,SESS_A,M06_SESSION_TIME,f037,2,0.0008049735030377647,0.0,0.08705762960110489,319,319,0.08549483605080119,1.1510886540125422,0.009844862393366436,268,0.0025893719806763284,True
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f016,5,0.0008195699946811352,,,0,0,,,-0.16152008753853492,269,0.002599033816425121,True
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f022,5,0.0008235689185509543,,,0,0,,,-0.10018457997622172,270,0.0026086956521739132,True
S25::017b79ce0b9e,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,f037,2,0.000838527237228881,,,0,0,,,-0.14850806707979777,271,0.0026183574879227057,True
S18::3933c532ec9c,S18,M06_SESSION_TIME,f028,5,0.0008526896029237285,4.0,0.010933783609100321,200,200,0.29690927483137247,2.9144949242296145,-0.27062340875942975,272,0.0026280193236714977,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f005,5,0.0008910986806642818,,,0,0,,,-0.3737354389272471,273,0.00263768115942029,True
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f037,2,0.0008979283174173069,,,0,0,,,-0.18525611422496036,274,0.002647342995169082,True
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f039,4,0.0009017875799077757,,,0,0,,,-0.3255470396563592,275,0.0026570048309178746,True
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f028,5,0.000918209865785613,,,0,0,,,-0.391199701626434,276,0.002666666666666667,True
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f013,5,0.0009210008953108861,,,0,0,,,-0.1687544865282243,277,0.002676328502415459,True
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f003,5,0.0009625284296899128,,,0,0,,,-0.3255470396563592,278,0.0026859903381642515,True
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,f004,5,0.0009985708468152055,,,0,0,,,-0.2084882388941829,279,0.0026956521739130435,True
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f021,2,0.0010111545419171364,,,0,0,,,-0.19540252563132476,280,0.002705314009661836,True
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f027,5,0.0010155175803827632,,,0,0,,,-0.16257469442432315,281,0.0027149758454106283,True
S29::10d4532019fd,S29,M06_SESSION_TIME,f036,5,0.0010661511103304822,3.0,0.21927775474794736,165,165,0.4348294724274441,3.7028032802741238,-0.12392098594191271,282,0.0027246376811594208,True
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f009,5,0.0010698401522191148,2.0,0.15509947544014885,226,223,0.2638163231921533,2.7454283516254967,-0.08249763533273155,283,0.0027342995169082128,True
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f016,5,0.0010738688794809104,,,0,0,,,-0.2797389306514087,284,0.0027439613526570052,True
