motif,mean_R,count,len
ASVn|R:ACCELLESSPART|ASVb,-0.503372136641077,79,3
R:DECELMOREPART|PSVb|R:DECELMOREPART,-0.5027567321249162,80,3
ASVB|R:DECELMOREPART|AwVB,-0.5024751053613229,100,3
AwVn|R:ACCELLESSPART|ASvn,-0.5020368074093493,172,3
R:DECELMOREPART|ASVb|R:DECELLESSPART,-0.5014220807791372,177,3
R:DECELLESSPART|ASVn|R:DECELMOREPART,-0.5013250606021757,131,3
R:ACCELLESSPART|PSvb|R:ACCELLESSPART,-0.5008640519428351,100,3
R:ACCELLESSPART|Awvn,-0.5002758116391797,177,2
ASvb|R:DECELMOREPART|PSVb,-0.4983748438059039,45,3
R:ACCELMOREPART|AwVn|R:ACCELMOREPART,-0.49655483740836115,36,3
Pwvn|R:DECELLESSPART,-0.4957983287774889,96,2
R:ACCELLESSPART|PSVB,-0.4937944100009471,117,2
R:DECELLESSPART|ASVb|R:DECELLESSPART,-0.49324767872045266,103,3
R:ACCELMOREPART|ASVn|R:ACCELLESSPART,-0.4920276593606631,250,3
R:ACCELLESSPART|AwVn,-0.49161724196751544,221,2
AwVn|R:ACCELLESSPART|PwVn,-0.49133133810680524,116,3
PSVB|R:ACCELLESSPART|ASVn,-0.4913231416253513,81,3
ASVn|R:DECELLESSPART|AwVn,-0.49124473595957996,484,3
R:DECELMOREPART|Awvn|R:ACCELLESSPART,-0.4906956453813931,199,3
PSvb|R:ACCELLESSPART,-0.4897453913037594,316,2
ASvb,-0.48889933441669603,380,1
PSvn|R:DECELMOREPART|Awvn,-0.4880238999656487,142,3
R:ACCELLESSPART|PSvb|R:DECELLESSPART,-0.4880214755245357,151,3
R:DECELMOREPART|ASVb|R:ACCELMOREPART,-0.48780487249830534,54,3
Awvn|R:ACCELLESSPART,-0.4877587964794402,1090,2
R:ACCELLESSPART|PSvn|R:DECELMOREPART,-0.48761507254378095,487,3
PwVn|R:ACCELLESSPART|ASvn,-0.4857178573888626,209,3
R:ACCELLESSPART|Pwvn,-0.4847523414709031,201,2
R:DECELLESSPART|PwVB|R:ACCELLESSPART,-0.48410406562357966,76,3
AwVn|R:ACCELLESSPART|AwVn,-0.48272025665879986,104,3
R:DECELLESSPART|PSvn|R:ACCELLESSPART,-0.48196598562374193,788,3
R:ACCELLESSPART|PSvn|R:DECELLESSPART,-0.4817411777933012,553,3
ASVn|R:ACCELLESSPART|ASVn,-0.48171493279229105,477,3
R:DECELLESSPART|Awvn|R:ACCELLESSPART,-0.481384760076772,527,3
R:DECELLESSPART|AwVB|R:ACCELLESSPART,-0.47964030258635754,61,3
ASVb|R:DECELLESSPART|AwVn,-0.4787605146387032,57,3
AwVn|R:ACCELLESSPART|PSVb,-0.4785556682518154,92,3
R:DECELMOREPART|ASVb|R:ACCELLESSPART,-0.47654678017333396,173,3
PSvn|R:ACCELMOREPART|ASvb,-0.47648129498196795,52,3
ASvn|R:DECELLESSPART,-0.47622601967147804,1639,2
ASvn|R:DECELLESSPART|Awvn,-0.47602581988592824,171,3
ASvn|R:DECELMOREPART|ASVB,-0.4756141939494128,62,3
PSVn|R:ACCELMOREPART|PSVb,-0.474653903106142,131,3
ASvB|R:DECELLESSPART|PSvn,-0.4745744432128322,246,3
Awvn|R:ACCELLESSPART|PSvb,-0.474565387069366,127,3
R:DECELLESSPART|AwVn,-0.4744248872525922,1244,2
R:DECELLESSPART|Awvn,-0.47404362264039035,769,2
R:DECELLESSPART|AwVn|R:ACCELLESSPART,-0.4738110001113206,992,3
PSvn|R:ACCELLESSPART|ASvn,-0.4732659295778407,687,3
ASVB|R:DECELLESSPART|PwVB,-0.4728633991299148,74,3
ASVn|R:ACCELMOREPART|PSVn,-0.4724473114477055,409,3
PwVn|R:ACCELLESSPART|PSVn,-0.47119670951677317,357,3
PSvn|R:DECELMOREPART,-0.4706246048361453,1222,2
R:ACCELMOREPART|PSVB|R:ACCELMOREPART,-0.47008521842375767,33,3
AwVn|R:ACCELLESSPART|ASVB,-0.4699474764479885,160,3
ASvb|R:ACCELMOREPART,-0.46973096064118725,36,2
PwVn|R:ACCELLESSPART|PSvn,-0.46858642647975696,162,3
PSvn|R:DECELMOREPART|ASvn,-0.46816310432068325,357,3
ASvn|R:ACCELLESSPART|PSvn,-0.4681532017164998,799,3
Pwvn|R:ACCELMOREPART|ASvn,-0.4678974788336416,284,3
R:DECELMOREPART|ASvn,-0.4674988761450784,621,2
ASvb|R:DECELMOREPART,-0.46712463117310965,251,2
PSvb|R:DECELMOREPART|PSVb,-0.46679539413398285,51,3
R:ACCELLESSPART|ASvn,-0.46663289460505264,2433,2
R:DECELMOREPART|PSVb,-0.46657410314047565,659,2
ASVn|R:DECELLESSPART|PSVn,-0.4656341011082334,889,3
PSvn|R:ACCELLESSPART,-0.4649889359541096,2332,2
PSvn|R:ACCELLESSPART|ASvB,-0.4647113290994354,1587,3
R:DECELMOREPART|PwVn|R:DECELLESSPART,-0.4646709440839239,69,3
R:DECELMOREPART|PSVB|R:DECELLESSPART,-0.4641442876349014,91,3
R:DECELMOREPART|PwVB|R:ACCELLESSPART,-0.4637749111133672,119,3
R:DECELLESSPART|ASVb,-0.46329357889259865,219,2
R:DECELLESSPART|ASvn|R:DECELMOREPART,-0.4631472844335466,253,3
ASvn|R:ACCELLESSPART,-0.46205531406789024,1289,2
PwVB|R:ACCELLESSPART|ASVn,-0.46195532459936745,41,3
PSVb|R:ACCELMOREPART|ASVn,-0.4617665937672479,115,3
R:ACCELLESSPART|ASvB|R:DECELLESSPART,-0.461369314937496,203,3
ASVB|R:ACCELLESSPART|PSVn,-0.46113652494022106,161,3
R:ACCELLESSPART|PSVb|R:DECELMOREPART,-0.4595770310636026,215,3
ASVn|R:ACCELLESSPART|PSvn,-0.45952837919105416,401,3
R:ACCELLESSPART|PSVn|R:DECELMOREPART,-0.459364176427668,327,3
PSVb|R:DECELLESSPART,-0.4585143594262569,1014,2
R:ACCELLESSPART|PSvn|R:ACCELLESSPART,-0.45837104850088983,1001,3
R:DECELLESSPART|PSvn,-0.4583122975180472,1881,2
R:ACCELLESSPART|ASVB|R:ACCELLESSPART,-0.45792105848548537,70,3
ASVn|R:ACCELMOREPART,-0.4573976817765498,1074,2
PSVB|R:DECELLESSPART,-0.45703844806254784,242,2
R:DECELLESSPART|ASVB|R:DECELLESSPART,-0.45659309020556155,118,3
ASVb|R:DECELMOREPART|PwVn,-0.4565098427700548,32,3
R:DECELMOREPART|AwVb|R:ACCELMOREPART,-0.45531141143004855,28,3
PwVB|R:ACCELLESSPART,-0.45477701390364644,205,2
PSVb|R:DECELLESSPART|AwVn,-0.45429341793616035,99,3
PSvb|R:ACCELMOREPART|ASvn,-0.4538674101666954,82,3
R:DECELMOREPART|PSvn|R:ACCELLESSPART,-0.4536048517916586,346,3
PSVn|R:DECELLESSPART|ASVB,-0.4527350548081017,32,3
R:DECELLESSPART|PSVB,-0.45182809263409096,109,2
Pwvn|R:ACCELMOREPART|PSVb,-0.4510818642680879,105,3
ASvn|R:ACCELLESSPART|ASvB,-0.4509423010115211,177,3
R:ACCELMOREPART|ASVn|R:ACCELMOREPART,-0.4504535446099462,309,3
PSvn|R:DECELLESSPART,-0.45039514278196513,983,2
ASVb|R:DECELLESSPART,-0.44978690376106034,546,2
R:DECELMOREPART|ASvn|R:DECELMOREPART,-0.44949053299772035,142,3
PwVB|R:ACCELLESSPART|ASVB,-0.4487023369455559,46,3
PSVb|R:DECELMOREPART|ASVB,-0.4485044294000648,77,3
R:DECELMOREPART|Pwvb|R:ACCELLESSPART,-0.4475544545538,27,3
ASVn|R:ACCELMOREPART|ASVb,-0.4466350228761955,138,3
R:ACCELLESSPART|PSvb,-0.44609683423438007,887,2
ASVB|R:DECELLESSPART|PSvn,-0.44599819842347355,144,3
Pwvn|R:ACCELLESSPART|Pwvn,-0.44590129152161684,54,3
AwVn|R:ACCELMOREPART|PSVb,-0.4448770317159558,129,3
PSVn|R:ACCELMOREPART|ASVn,-0.44183049538417923,480,3
R:DECELLESSPART|Awvn|R:ACCELMOREPART,-0.44182298107559653,206,3
PSVb|R:ACCELLESSPART|ASvn,-0.4410620716722299,74,3
AwVn|R:ACCELMOREPART,-0.4404444966283372,863,2
PSvn|R:DECELLESSPART|PSvn,-0.4394198549393373,91,3
PSvb|R:ACCELLESSPART|ASvn,-0.43823215153093126,113,3
ASvn|R:DECELLESSPART|Pwvn,-0.4381080218224259,356,3
R:ACCELMOREPART|PSvb|R:DECELMOREPART,-0.43781194195344597,398,3
R:ACCELLESSPART|ASVn|R:DECELLESSPART,-0.43749121393516255,1308,3
AwVn|R:ACCELMOREPART|PSVn,-0.43733934532847674,280,3
R:ACCELMOREPART|PSvn|R:DECELLESSPART,-0.4372831646172211,110,3
R:DECELLESSPART|PSVn,-0.4370104190405018,1449,2
PSvn|R:ACCELMOREPART|ASvB,-0.43683455104431473,1531,3
Awvn|R:DECELMOREPART|Awvn,-0.436555779336999,28,3
R:DECELLESSPART|PSVn|R:ACCELLESSPART,-0.4363952412835905,802,3
ASvb|R:DECELLESSPART,-0.43578722196942127,73,2
PSVn|R:DECELLESSPART,-0.43576230118860637,1905,2
R:DECELLESSPART|AwVB,-0.43517260198617325,88,2
