sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,70774,1,1.7140907540088746,2.875127942681685,-0.0017059024224186528,2014,7,2,1,3,AS,0.6755000000000402,0.122,lo,False,TREND_UP,0.5041703248463576,1.2797927461137761,ALIGN
HTF_PBK_TREND,73332,1,-0.24722379070205472,0.6952757387539787,-0.5050818746471002,2014,8,4,14,29,NY,3.822535714285696,0.985,hi,False,TREND_UP,0.4625329183624688,-1.9528921527407825,ALIGN
HTF_PBK_TREND,74231,-1,-1.1509637903080545,1.645289137092402,-1.2233831742028918,2014,8,4,7,15,AS,0.9739285714285708,0.5075,md,True,TREND_DOWN,0.0765279101789908,-0.18379171250467355,ALIGN
HTF_PBK_TREND,74287,-1,-1.2483698873740183,0.6905749851807214,-1.1434499110847325,2014,8,6,22,45,LT,0.699035714285742,0.217,lo,True,TREND_DOWN,0.34601858829438403,-0.9420119552444374,ALIGN
HTF_PBK_TREND,79128,-1,-1.1382838283828396,1.5884488448845364,-1.2580858085808357,2014,11,2,7,15,AS,1.5074285714286069,0.5485,md,True,TREND_DOWN,0.7239192755301582,1.0823066717209489,ALIGN
HTF_PBK_TREND,79189,-1,-1.1050125313283206,0.615789473684236,-1.1750626566415954,2014,11,2,23,47,LT,1.5726785714285825,0.569,md,True,TREND_DOWN,0.14336378705524377,-0.40472351538538537,ALIGN
HTF_PBK_TREND,79213,-1,-0.18099089989889638,1.1484183157590522,-0.9132601473350017,2014,11,3,5,11,AS,2.1560000000000303,0.8035,hi,True,TREND_DOWN,0.37341538915093686,0.2880333951761867,ALIGN
HTF_PBK_TREND,79265,-1,0.8134639916502442,1.1333062739185877,-0.45436622985038516,2014,11,3,18,37,NY,1.8827499999999873,0.657,md,True,TREND_DOWN,0.37987023901570716,-1.3998141017128578,ALIGN
HTF_PBK_TREND,79282,-1,-1.2314277823805808,1.7238331952501547,-1.0375586854460042,2014,11,3,23,47,LT,1.1152500000000114,0.317,lo,True,TREND_DOWN,0.482905839244304,-0.21475005604116099,ALIGN
HTF_PBK_TREND,84032,1,-1.2390188248716583,0.5664575014261143,-2.8205932686824084,2015,1,2,23,47,LT,1.8105357142857201,0.6165,md,False,TREND_UP,0.37894140154467054,0.7224381102672784,ALIGN
