setup,rep,retention,sel_N,sel_exp,sel_exp_stress,PF,WR,winners_retained,losers_avoided,losers_retained,sel_per_year,drop5_exp,folds_pos,fold_exps
SETUP_3,B_setup_static,0.6,8908,-0.07225453546186253,-0.3517307212483726,0.8159381463840258,0.6423439604849573,0.5836393308853529,0.6364673664993155,0.3635326335006846,593.8,-0.1411,0,"[-0.1442, -0.0662, -0.0035]"
SETUP_3,B_setup_static,0.4,5249,-0.025326046189342068,-0.304870726070698,0.9393808222584157,0.6309773290150504,0.3378212974296206,0.7789821999087174,0.22101780009128252,349.9,-0.1,1,"[-0.0843, -0.035, 0.0926]"
SETUP_3,B_setup_static,0.2,2345,0.06910206245752475,-0.21067611097741207,1.1611330353865232,0.6260127931769722,0.14973480212158302,0.8999315381104518,0.10006846188954815,156.3,-0.0129,2,"[-0.0093, 0.0748, 0.3147]"
SETUP_3,C_path_agg,0.8,13856,-0.1547541420842954,-0.4342050146747008,0.5791494920073871,0.5600461893764435,0.7915136678906569,0.30442720219078045,0.6955727978092195,923.6,-0.2181,0,"[-0.2271, -0.1427, -0.0964]"
SETUP_3,C_path_agg,0.6,9850,-0.13968440503281956,-0.4190084014033791,0.6134080741666443,0.5760406091370558,0.5787433700530396,0.5235052487448654,0.47649475125513463,656.6,-0.2026,0,"[-0.2047, -0.129, -0.0873]"
SETUP_3,C_path_agg,0.4,6276,-0.12839249301823388,-0.407720397456702,0.6375099797421835,0.5865200764818356,0.37545899632802937,0.7039023277042447,0.29609767229575534,418.3,-0.1916,0,"[-0.2025, -0.1152, -0.0647]"
SETUP_3,C_path_agg,0.2,3059,-0.11293838714435614,-0.39223435966607695,0.6738870617208,0.6018306636155606,0.18778049775601796,0.8610223642172524,0.1389776357827476,203.9,-0.1759,0,"[-0.1887, -0.0863, -0.0534]"
SETUP_3,D_path_plus_generic,0.8,13566,-0.14918420548137237,-0.42860164260394584,0.5922886376271596,0.5628777826920242,0.7788657690738474,0.32336832496576906,0.6766316750342309,904.3,-0.2131,0,"[-0.2172, -0.1393, -0.0919]"
SETUP_3,D_path_plus_generic,0.6,9650,-0.13025486976003078,-0.40959902434147016,0.6376307707429346,0.5820725388601036,0.5729294165646674,0.5398219990871749,0.4601780009128252,643.2,-0.1932,0,"[-0.1868, -0.1298, -0.0735]"
SETUP_3,D_path_plus_generic,0.4,6298,-0.12767885769105627,-0.4070429679766379,0.6491865287870191,0.5900285805017466,0.37902896776825784,0.7053856686444546,0.29461433135554543,419.8,-0.1914,0,"[-0.1803, -0.126, -0.074]"
SETUP_3,D_path_plus_generic,0.2,2994,-0.11593478929978497,-0.3953143521832297,0.6784757344613245,0.6005344021376086,0.18339453284373725,0.8635326335006847,0.13646736649931537,199.6,-0.1819,0,"[-0.1679, -0.1253, -0.0487]"
SETUP_3,E_ordered_seq,0.8,14414,-0.1459408676892545,-0.42542963249062943,0.5995333231146915,0.5780491189121687,0.8498572011423908,0.3060246462802373,0.6939753537197627,960.8,-0.209,0,"[-0.2241, -0.1376, -0.0906]"
SETUP_3,E_ordered_seq,0.6,11225,-0.12528174022484942,-0.4048524481788469,0.6505134981364583,0.596347438752784,0.6827825377396981,0.48299863076220906,0.5170013692377909,748.2,-0.1882,0,"[-0.1978, -0.1164, -0.0841]"
SETUP_3,E_ordered_seq,0.4,4824,-0.15868374524014953,-0.43802136993283464,0.6015031842145449,0.5945273631840796,0.29253365973072215,0.776814240073026,0.22318575992697398,321.6,-0.2238,0,"[-0.1961, -0.1276, -0.1316]"
SETUP_3,E_ordered_seq,0.2,2318,-0.15215115158811632,-0.43148490746679413,0.6393705082266787,0.6018119068162209,0.14228886168910648,0.8946827932450936,0.10531720675490644,154.5,-0.222,0,"[-0.1756, -0.1286, -0.1526]"
