family,si,ei,dir,entry_worse_atr,R
A_sweep_reclaim,25086,25087,-1,0.0,-1.0
A_sweep_reclaim,25096,25097,-1,0.0,-1.0
A_sweep_reclaim,25174,25175,-1,0.0,-1.0
A_sweep_reclaim,25341,25342,-1,0.0,2.0
A_sweep_reclaim,25443,25444,1,-0.0,-1.0
A_sweep_reclaim,25478,25479,-1,0.0,0.7140200337856537
A_sweep_reclaim,25777,25778,-1,0.0,-1.0
A_sweep_reclaim,25825,25826,1,-0.0,2.0
A_sweep_reclaim,26205,26206,-1,0.0,-1.0
A_sweep_reclaim,26377,26378,1,-0.0,-1.0
A_sweep_reclaim,26510,26511,1,-0.0,-1.0
A_sweep_reclaim,26611,26612,-1,0.0,2.0
A_sweep_reclaim,27191,27192,-1,0.0,-1.0
A_sweep_reclaim,27215,27216,-1,0.0,-1.0
A_sweep_reclaim,27238,27239,1,-0.0,-1.0
A_sweep_reclaim,27292,27293,1,-0.0,2.0
A_sweep_reclaim,27473,27474,-1,0.0,-1.0
A_sweep_reclaim,27774,27775,1,-0.0,-1.0
A_sweep_reclaim,27870,27871,1,-0.0,-1.0
A_sweep_reclaim,27952,27953,1,-0.0,2.0
A_sweep_reclaim,28032,28033,1,-0.0,2.0
A_sweep_reclaim,28043,28044,-1,0.0,-1.0
A_sweep_reclaim,28128,28129,-1,0.0,-1.0
A_sweep_reclaim,28223,28224,-1,0.0,-1.0
A_sweep_reclaim,28311,28312,1,-0.0,-1.0
A_sweep_reclaim,28425,28426,1,-0.0,-1.0
A_sweep_reclaim,28532,28533,-1,0.0,2.0
A_sweep_reclaim,28551,28552,1,-0.0,2.0
A_sweep_reclaim,28806,28807,-1,0.0,2.0
A_sweep_reclaim,28960,28961,1,-0.0,-1.0
A_sweep_reclaim,29455,29456,-1,0.0,-1.0
A_sweep_reclaim,29570,29571,1,-0.0,-1.0
A_sweep_reclaim,29730,29731,1,-0.0,-1.0
A_sweep_reclaim,29767,29768,1,-0.0,0.7303524730299119
A_sweep_reclaim,29950,29951,1,-0.0,-1.0
A_sweep_reclaim,30189,30190,-1,0.0,2.0
A_sweep_reclaim,30260,30261,-1,0.0,2.0
A_sweep_reclaim,30321,30322,1,-0.0,-1.0
A_sweep_reclaim,30367,30368,-1,0.0,2.0
A_sweep_reclaim,30523,30524,1,-0.0,-1.0
A_sweep_reclaim,30601,30602,-1,0.0,2.0
A_sweep_reclaim,30704,30705,1,-0.0,-1.0
A_sweep_reclaim,30873,30874,-1,0.0,-1.0
A_sweep_reclaim,30928,30929,1,-0.0,-1.0
A_sweep_reclaim,31314,31315,-1,0.0,-1.0
A_sweep_reclaim,31328,31329,-1,0.0,2.0
A_sweep_reclaim,31366,31367,-1,0.0,-1.0
A_sweep_reclaim,31460,31461,-1,0.0,-1.0
A_sweep_reclaim,31523,31524,1,-0.0,0.5737493370542983
A_sweep_reclaim,31633,31634,1,-0.0,-1.0
A_sweep_reclaim,31705,31706,-1,0.0,2.0
A_sweep_reclaim,31724,31725,-1,0.0,-1.0
A_sweep_reclaim,31850,31851,1,-0.0,-1.0
A_sweep_reclaim,31904,31905,1,-0.0,-0.28795843726780485
A_sweep_reclaim,32278,32279,-1,0.0,-1.0
A_sweep_reclaim,32349,32350,1,-0.0,-1.0
A_sweep_reclaim,32416,32417,-1,0.0,-1.0
A_sweep_reclaim,32482,32483,-1,0.0,-1.0
A_sweep_reclaim,32602,32603,1,-0.0,-1.0
A_sweep_reclaim,32615,32616,1,-0.0,-1.0
A_sweep_reclaim,32635,32636,1,-0.0,-1.0
A_sweep_reclaim,32655,32656,1,-0.0,-1.0
A_sweep_reclaim,32709,32710,1,-0.0,0.8487535309645395
A_sweep_reclaim,32866,32867,-1,0.0,2.0
A_sweep_reclaim,32914,32915,1,-0.0,0.09673766770848087
A_sweep_reclaim,33028,33029,1,-0.0,-1.0
A_sweep_reclaim,33141,33142,-1,0.0,2.0
A_sweep_reclaim,33228,33229,1,-0.0,-1.0
A_sweep_reclaim,33262,33263,1,-0.0,-1.0
A_sweep_reclaim,33442,33443,-1,0.0,2.0
A_sweep_reclaim,33486,33487,1,-0.0,-1.0
A_sweep_reclaim,33522,33523,-1,0.0,-1.0
A_sweep_reclaim,33548,33549,1,-0.0,2.0
A_sweep_reclaim,33800,33801,-1,0.0,0.7543747388510371
A_sweep_reclaim,34097,34098,1,-0.0,-1.0
A_sweep_reclaim,34177,34178,1,-0.0,-1.0
A_sweep_reclaim,34427,34428,1,-0.0,-1.0
A_sweep_reclaim,34665,34666,1,-0.0,2.0
A_sweep_reclaim,34809,34810,1,-0.0,-1.0
A_sweep_reclaim,34955,34956,-1,0.0,-1.0
A_sweep_reclaim,35023,35024,1,-0.0,1.0338802654989865
A_sweep_reclaim,35185,35186,-1,0.0,2.0
A_sweep_reclaim,35325,35326,1,-0.0,-1.0
A_sweep_reclaim,35378,35379,1,-0.0,-1.0
A_sweep_reclaim,35465,35466,-1,0.0,-1.0
A_sweep_reclaim,35531,35532,-1,0.0,-1.0
A_sweep_reclaim,35651,35652,1,-0.0,-1.0
A_sweep_reclaim,35720,35721,1,-0.0,2.0
A_sweep_reclaim,35884,35885,1,-0.0,1.0967170276880867
A_sweep_reclaim,36008,36009,1,-0.0,-1.0
A_sweep_reclaim,36163,36164,1,-0.0,-1.0
A_sweep_reclaim,36297,36298,1,-0.0,-1.0
A_sweep_reclaim,36312,36313,1,-0.0,-1.0
A_sweep_reclaim,36400,36401,1,-0.0,0.6412903278025831
A_sweep_reclaim,36563,36564,-1,0.0,-1.0
A_sweep_reclaim,36664,36665,1,-0.0,-1.0
A_sweep_reclaim,36812,36813,1,-0.0,-1.0
A_sweep_reclaim,36867,36868,1,-0.0,0.12007615182076384
A_sweep_reclaim,37037,37038,1,-0.0,2.0
A_sweep_reclaim,37065,37066,-1,0.0,-1.0
A_sweep_reclaim,37151,37152,-1,0.0,0.8357742581528587
A_sweep_reclaim,37272,37273,-1,0.0,-1.0
A_sweep_reclaim,37368,37369,1,-0.0,-1.0
