date,threshold,dow,session,continuation,continued_meaningfully
2023-10-19,0.9,Thursday,ny,0.2918151479156108,1
2023-10-23,0.3,Monday,asia,0.11870548893956882,1
2023-10-25,0.3,Wednesday,ny,0.0,0
2023-10-25,0.5,Wednesday,ny,0.0,0
2023-10-26,0.3,Thursday,london,0.03035664400782399,0
2023-10-31,0.3,Tuesday,ny,0.1376884807714452,1
2023-11-09,0.3,Thursday,ny,0.3714831567087412,1
2023-11-09,0.5,Thursday,ny,0.09418526803938297,0
2023-11-13,0.3,Monday,ny,0.0,0
2023-11-14,0.3,Tuesday,ny,0.5310872500482207,1
2023-11-14,0.5,Tuesday,ny,0.5310872500482207,1
2023-11-14,0.7,Tuesday,ny,0.0,0
2023-11-14,0.9,Tuesday,ny,0.0,0
2023-11-15,0.3,Wednesday,asia,0.2584211547164951,1
2023-11-15,0.5,Wednesday,london,0.05770349776943851,0
2023-11-16,0.3,Thursday,asia,0.9349991887067963,1
2023-11-16,0.5,Thursday,ny,0.6801233165666092,1
2023-11-16,0.7,Thursday,ny,0.3664124614635758,1
2023-11-16,0.9,Thursday,ny,0.23783871491156475,1
2023-11-16,1.1,Thursday,ny,0.0806425442154837,0
2023-11-20,0.3,Monday,asia,0.16830369885323462,1
2023-11-21,0.3,Tuesday,asia,0.7886387820250542,1
2023-11-21,0.5,Tuesday,asia,0.6811492183023715,1
2023-11-21,0.7,Tuesday,ny,0.33369894409430406,1
2023-11-21,0.9,Tuesday,ny,0.25646230662192154,1
2023-11-21,1.1,Tuesday,ny,0.09625931079643747,0
2023-11-22,0.3,Wednesday,london,0.0,0
2023-11-23,0.3,Thursday,asia,0.008937507273362382,0
2023-11-27,0.3,Monday,asia,0.0,0
2023-11-27,0.5,Monday,asia,0.0,0
2023-11-27,0.7,Monday,asia,0.0,0
2023-11-28,0.3,Tuesday,ny,0.9703430639965407,1
2023-11-28,0.5,Tuesday,ny,0.7741356979176979,1
2023-11-28,0.7,Tuesday,ny,0.6072199528411516,1
2023-11-28,0.9,Tuesday,ny,0.4312377536448409,1
2023-11-28,1.1,Tuesday,ny,0.18156155557769452,1
2023-11-28,1.3,Tuesday,late,0.052538939258072924,0
2023-11-29,0.3,Wednesday,asia,0.0,0
2023-12-03,0.3,Sunday,late,0.39382652069702473,1
2023-12-03,0.5,Sunday,late,0.39382652069702473,1
2023-12-03,0.7,Sunday,late,0.39382652069702473,1
2023-12-03,0.9,Sunday,late,0.39382652069702473,1
2023-12-03,1.1,Sunday,late,0.39382652069702473,1
2023-12-03,1.3,Sunday,late,0.39382652069702473,1
2023-12-06,0.3,Wednesday,asia,0.27175008728063016,1
2023-12-06,0.5,Wednesday,asia,0.0,0
2023-12-07,0.3,Thursday,ny,0.008843129204433895,0
2023-12-12,0.3,Tuesday,ny,0.13359364362874385,1
2023-12-13,0.3,Wednesday,ny,0.8251803393592446,1
2023-12-13,0.5,Wednesday,ny,0.8251803393592446,1
2023-12-13,0.7,Wednesday,ny,0.7343535527583889,1
2023-12-13,0.9,Wednesday,ny,0.48859554335445887,1
2023-12-13,1.1,Wednesday,ny,0.3446161035016489,1
2023-12-13,1.3,Wednesday,late,0.16500686311731158,1
2023-12-14,0.3,Thursday,ny,0.0009982500066168963,0
2023-12-18,0.3,Monday,ny,0.002721177512844537,0
2023-12-19,0.3,Tuesday,ny,0.13414464939603396,1
2023-12-19,0.5,Tuesday,ny,0.04349495977269418,0
2023-12-21,0.3,Thursday,ny,0.2668287158522714,1
2023-12-21,0.5,Thursday,late,0.14650294599469268,1
2023-12-26,0.3,Tuesday,ny,0.01614970520380186,0
2023-12-27,0.3,Wednesday,ny,0.2680679244221154,1
2023-12-27,0.5,Wednesday,ny,0.10064857412174541,1
2023-12-27,0.7,Wednesday,ny,0.0,0
2023-12-28,0.3,Thursday,asia,0.027456707698724468,0
2024-01-02,0.3,Tuesday,asia,0.3085252402013078,1
2024-01-02,0.5,Tuesday,asia,0.09159676681409105,0
2024-01-04,0.3,Thursday,asia,0.0657103802638171,0
2024-01-09,0.3,Tuesday,london,0.1647731736828098,1
2024-01-10,0.3,Wednesday,london,0.0,0
2024-01-11,0.3,Thursday,asia,0.4450398879483617,1
2024-01-11,0.5,Thursday,ny,0.23445587966628126,1
2024-01-11,0.7,Thursday,ny,0.0,0
2024-01-15,0.3,Monday,asia,0.141133662406614,1
2024-01-18,0.3,Thursday,london,0.28474576271185875,1
2024-01-18,0.5,Thursday,ny,0.06949861711935336,0
2024-01-23,0.3,Tuesday,asia,0.4231316402821044,1
2024-01-23,0.5,Tuesday,asia,0.08369404001573622,0
2024-01-23,0.7,Tuesday,asia,0.0,0
2024-01-24,0.3,Wednesday,ny,0.0,0
2024-01-25,0.3,Thursday,ny,0.05291671916341395,0
2024-01-28,0.3,Sunday,late,0.09192013935414892,0
2024-01-29,0.3,Monday,asia,0.3937485498359202,1
2024-01-29,0.5,Monday,asia,0.17100334780734963,1
2024-01-29,0.7,Monday,ny,0.0,0
